Register-R,Value-R,Register-F,Value-F
R0,0,F0,37.924992
R1,98,F1,34.743214
R2,46,F2,46.526253
R3,12,F3,40.516281
R4,67,F4,40.791096
R5,50,F5,12.631969
R6,61,F6,89.311531
R7,60,F7,59.260422
R8,29,F8,20.030306
R9,79,F9,97.688072
R10,55,F10,11.344763
R11,20,F11,8.475722
R12,87,F12,94.397194
R13,74,F13,78.630074
R14,93,F14,4.601408
R15,5,F15,79.550026
R16,59,F16,62.241634
R17,19,F17,33.558407
R18,58,F18,56.498260
R19,40,F19,53.831032
R20,94,F20,28.075224
R21,12,F21,73.956894
R22,0,F22,31.130339
R23,86,F23,68.056549
R24,58,F24,49.189232
R25,80,F25,29.784212
R26,93,F26,31.213652
R27,17,F27,20.585239
R28,53,F28,58.902981
R29,99,F29,28.245861
R30,73,F30,23.441393
R31,53,F31,6.030783
